video_id,title,published_at,duration_sec,views,likes,comments,tags,category_id,definition,has_captions
Vht4hoRHEek,Learn ETL Pipelines in Databricks in Under 1 Hour | Data Engineering in Databricks,2026-04-28 12:00:57+00:00,3896,1845,113,4,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
SSz7HiyQN1M,Full End-to-End Data Engineering Project in Databricks,2026-04-21 12:00:48+00:00,1431,7834,261,17,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
XCPleirm-ZY,Alex The Analyst April Livestream!,2026-04-17 16:07:43+00:00,4935,4286,143,2,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
p4pdx6iWotU,Job Orchestration in Databricks | Data Engineering in Databricks,2026-04-14 12:01:35+00:00,769,3182,87,5,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
rW8QT4OStXQ,Building ETL Pipelines in Databricks | Data Engineering in Databricks,2026-04-07 12:01:38+00:00,1286,8134,261,10,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
oatwHam_m3I,ETL vs ELT,2026-04-02 12:20:59+00:00,51,6549,274,6,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
hEv5y_s0L3c,Ingesting Data into Databricks | Data Engineering in Databricks,2026-03-31 12:00:54+00:00,510,6935,238,16,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
K_VPF9URZo4,Semantic Layers in the Age of AI are 100% Needed,2026-03-24 12:00:30+00:00,372,6720,249,14,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
GqQakVQCnEo,Microsoft Copilot Cowork Just Launched | Here's What You Need to Know,2026-03-17 12:00:26+00:00,536,35017,585,46,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
uX9ByOx0CGc,Claude in Excel - Better than Copilot?,2026-03-10 12:01:38+00:00,1015,17359,432,28,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
Lipla15qOmc,Alex The Analyst March Livestream!,2026-03-05 15:17:03+00:00,4615,4710,147,6,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst,livestream",27,hd,False
nizvj7xAwq8,Learn IDP in Databricks in Under 2 Hours!,2026-03-03 13:01:32+00:00,4660,4058,104,7,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
jvg60_1JSx0,End-To-End IDP Project in Databricks | PDFs to Useable Data in 30 Minutes,2026-02-24 13:01:14+00:00,2192,6962,203,6,"Data Analyst,Data Analyst job,Data Analyst Career,Data Analytics,Alex The Analyst",27,hd,False
